"ID","index","Year","Subject"
"ISCEDL","ISCED level",2018,"OECDindex"
"ISCEDD","ISCED designation",2018,"OECDindex"
"ISCEDO","ISCED orientation",2018,"OECDindex"
"MISCED","Mothers Education (ISCED)",2018,"OECDindex"
"FISCED","Fathers Education (ISCED)",2018,"OECDindex"
"HISCED","Highest Education of parents (ISCED)",2018,"OECDindex"
"PARED","Index highest parental education in years of schooling",2018,"OECDindex"
"MISCED_D","Mothers Education - alternate definition (ISCED)",2018,"OECDindex"
"FISCED_D","Fathers Education - alternate definition (ISCED)",2018,"OECDindex"
"HISCED_D","Highest Education of parents - alternate definition (ISCED)",2018,"OECDindex"
"PAREDINT","Index highest parental education (international years of schooling scale)",2018,"OECDindex"
"BMMJ1","ISEI of mother",2018,"OECDindex"
"BFMJ2","ISEI of father",2018,"OECDindex"
"HISEI","Index highest parental occupational status",2018,"OECDindex"
"LANGMOTHER","Language spoken with their mother for students who do not speak the test language at home",2018,"OECDindex"
"LANGFATHER","Language spoken with their father for students who do not speak the test language at home",2018,"OECDindex"
"LANGSIBLINGS","Language spoken with their brother(s) and/or sister(s) for students who do not speak the test language at home",2018,"OECDindex"
"LANGFRIEND","Language spoken with their best friend for students who do not speak the test language at home",2018,"OECDindex"
"LANGSCHMATES","Language spoken with their school mates for students who do not speak the test language at home",2018,"OECDindex"
"IMMIG","Index Immigration status",2018,"OECDindex"
"DURECEC","Duration in early childhood education and care",2018,"OECDindex"
"REPEAT","Grade Repetition",2018,"OECDindex"
"BSMJ","Students expected occupational status (SEI)",2018,"OECDindex"
"MMINS","Learning time (minutes per week) - <Mathematics>",2018,"OECDindex"
"LMINS","Learning time (minutes per week) - <test language>",2018,"OECDindex"
"SMINS","Learning time (minutes per week) - <science>",2018,"OECDindex"
"TMINS","Learning time (minutes per week) - in total",2018,"OECDindex"
"SCCHANGE","Number of school changes",2018,"OECDindex"
"CHANGE","Number of changes in educational biography (Sum)",2018,"OECDindex"
"STUBMI","Body mass index of student",2018,"OECDindex"
"UNDREM","Meta-cognition: understanding and remembering",2018,"OECDindex"
"METASUM","Meta-cognition: summarising",2018,"OECDindex"
"METASPAM","Meta-cognition: assess credibility",2018,"OECDindex"
