"","ID","VARLABEL"
"1","CNTRYID","Country Identifier"
"2","CNT","Country code 3-character"
"3","CNTSCHID","Intl. School ID"
"4","CNTSTUID","Intl. Student ID"
"5","CYC","PISA Assessment Cycle (2 digits + 2 character Assessment type - MS/FT)"
"6","NatCen","National Centre 6-digit Code"
"7","STRATUM","Stratum ID 7-character (cnt + region ID + original stratum ID)"
"8","SUBNATIO","Adjudicated sub-region code 7-digit code (3-digit country code + region ID + stratum ID)"
"9","OECD","OECD country"
"10","ADMINMODE","Mode of Respondent"
"11","LANGTEST_QQQ","Language of Questionnaire"
"12","LANGTEST_COG","Language of Assessment"
"13","LANGTEST_PAQ","Language of Assessment (PAQ)"
"14","BOOKID","Form Identifier"
"15","ST001D01T","Student International Grade (Derived)"
"16","ST003D02T","Student (Standardized) Birth - Month"
"17","ST003D03T","Student (Standardized) Birth -Year"
"18","ST004D01T","Student (Standardized) Gender"
"19","ST005Q01TA","What is the <highest level of schooling> completed by your mother?"
"20","ST006Q01TA","Does your mother have this qualification? <ISCED level 6> (incl. higher qualifications at level 5A in some countries)"
"21","ST006Q02TA","Does your mother have this qualification? <ISCED level 5A> (excl. higher qualifications at level 5A in some countries)"
"22","ST006Q03TA","Does your mother have any of the following qualifications? <ISCED level 5B>"
"23","ST006Q04TA","Does your mother have any of the following qualifications? <ISCED level 4>"
"24","ST007Q01TA","What is the <highest level of schooling> completed by your father?"
"25","ST008Q01TA","Does your father have this qualification? <ISCED level 6> (incl. higher qualifications at level 5A in some countries)"
"26","ST008Q02TA","Does your father have this qualification? <ISCED level 5A> (excl. higher qualifications at level 5A in some countries)"
"27","ST008Q03TA","Does your father have any of the following qualifications? <ISCED level 5B>"
"28","ST008Q04TA","Does your father have any of the following qualifications? <ISCED level 4>"
"29","ST011Q01TA","In your home: A desk to study at"
"30","ST011Q02TA","In your home: A room of your own"
"31","ST011Q03TA","In your home: A quiet place to study"
"32","ST011Q04TA","In your home: A computer you can use for school work"
"33","ST011Q05TA","In your home: Educational software"
"34","ST011Q06TA","In your home: A link to the Internet"
"35","ST011Q07TA","In your home: Classic literature (e.g. <Shakespeare>)"
"36","ST011Q08TA","In your home: Books of poetry"
"37","ST011Q09TA","In your home: Works of art (e.g. paintings)"
"38","ST011Q10TA","In your home: Books to help with your school work"
"39","ST011Q11TA","In your home: <Technical reference books>"
"40","ST011Q12TA","In your home: A dictionary"
"41","ST011Q16NA","In your home: Books on art, music, or design"
"42","ST011D17TA","In your home: <Country-specific wealth item 1>"
"43","ST011D18TA","In your home: <Country-specific wealth item 2>"
"44","ST011D19TA","In your home: <Country-specific wealth item 3>"
"45","ST012Q01TA","How many in your home: Televisions"
"46","ST012Q02TA","How many in your home: Cars"
"47","ST012Q03TA","How many in your home: Rooms with a bath or shower"
"48","ST012Q05NA","How many in your home: <Cell phones> with Internet access (e.g. smartphones)"
"49","ST012Q06NA","How many in your home: Computers (desktop computer, portable laptop, or notebook)"
"50","ST012Q07NA","How many in your home: <Tablet computers> (e.g. <iPad>, <BlackBerry PlayBook>)"
"51","ST012Q08NA","How many in your home: E-book readers (e.g. <Kindle>, <Kobo>, <Bookeen>)"
"52","ST012Q09NA","How many in your home: Musical instruments (e.g. guitar, piano)"
"53","ST013Q01TA","How many books are there in your home?"
"54","ST019AQ01T","In what country were you and your parents born? You"
"55","ST019BQ01T","In what country were you and your parents born? Mother"
"56","ST019CQ01T","In what country were you and your parents born? Father"
"57","ST021Q01TA","How old were you when you arrived in <country of test>?"
"58","ST125Q01NA","How old were you when you started <ISCED 0>? Years"
"59","ST126Q01TA","How old were you when you started <ISCED 1>? Years"
"60","ST127Q01TA","Have you ever repeated a <grade>? At <ISCED 1>"
"61","ST127Q02TA","Have you ever repeated a <grade>? At <ISCED 2>"
"62","ST127Q03TA","Have you ever repeated a <grade>? At <ISCED 3>"
"63","ST022Q01TA","What language do you speak at home most of the time?"
"64","ST023Q01TA","Which language do you usually speak with: My mother"
"65","ST023Q02TA","Which language do you usually speak with: My father"
"66","ST023Q03TA","Which language do you usually speak with: My brother(s) and/or sister(s)"
"67","ST023Q04TA","Which language do you usually speak with: My best friend"
"68","ST023Q05TA","Which language do you usually speak with: My schoolmates"
"69","ST097Q01TA","How often during <test language lessons>: Students don't listen to what the teacher says."
"70","ST097Q02TA","How often during <test language lessons>: There is noise and disorder."
"71","ST097Q03TA","How often during <test language lessons>: The teacher waits long for students to quiet down."
"72","ST097Q04TA","How often during <test language lessons>: Students cannot work well."
"73","ST097Q05TA","How often during <test language lessons>: Students don't start working for a long time after the lesson begins."
"74","ST100Q01TA","How often during <test language lessons>: The teacher shows aninterest in every student's learning."
"75","ST100Q02TA","How often during <test language lessons>: The teacher gives extra help when students need it."
"76","ST100Q03TA","How often during <test language lessons>: The teacher helps students with their learning."
"77","ST100Q04TA","How often during <test language lessons>: The teacher continues teaching until the students understands."
"78","ST102Q01TA","How often during <test language lessons>: The teacher sets clear goals for our learning."
"79","ST102Q02TA","How often during <test language lessons>: The teacher asks questions to check whether we have understood what was taught"
"80","ST102Q03TA","How often during <test language lessons>: [...] the teacher presents a short summary of the previous lesson."
"81","ST102Q04TA","How often during <test language lessons>: The teacher tells us what we have to learn."
"82","ST211Q01HA","Thinking of past two <test language lessons>: The teacher made me feel confident in my ability to do well in the course."
"83","ST211Q02HA","Thinking of past two <test language lessons>: The teacher listened to my view on how to do things."
"84","ST211Q03HA","Thinking of past two <test language lessons>: I felt that my teacher understood me."
"85","ST212Q01HA","How often in <test language lessons>: The teacher adapts the lesson to my classs needs and knowledge."
"86","ST212Q02HA","How often in <test language lessons>: The teacher provides individual help when a student has difficulties [...]"
"87","ST212Q03HA","How often in <test language lessons>: The teacher changes the structure of the lesson on a topic that most [...]"
"88","ST104Q02NA","How often during <test language lessons>: The teacher gives me feedback on my strengths in this subject."
"89","ST104Q03NA","How often during <test language lessons>: The teacher tells me in which areas I can still improve."
"90","ST104Q04NA","How often during <test language lessons>: The teacher tells me how I can improve my performance."
"91","ST213Q01HA","Thinking of past two <test language lessons>: It was clear to me that the teacher liked teaching us."
"92","ST213Q02HA","Thinking of past two <test language lessons>: The enthusiasm of the teacher inspired me."
"93","ST213Q03HA","Thinking of past two <test language lessons>: It was clear that the teacher likes to deal with the topic of the lesson."
"94","ST213Q04HA","Thinking of past two <test language lessons>: The teacher showed enjoyment in teaching."
"95","ST150Q01IA","During the last month, how often did you have to read for school: Texts that include diagrams or maps"
"96","ST150Q02IA","During the last month, how often did you have to read for school: Fiction (e.g., novels, short stories)"
"97","ST150Q03IA","During the last month, how often did you have to read for school: Texts that include tables or graphs"
"98","ST150Q04HA","During the last month, how often did you have to read for school: Digital texts including links"
"99","ST152Q05IA","In your <test language lessons>, how often: The teacher encourages students to express their opinion about a text."
"100","ST152Q06IA","In your <test language lessons>, how often: The teacher helps students relate the stories they read to their lives."
"101","ST152Q07IA","In your <test language lessons>, how often: The teacher shows students how the information in texts builds on [...]"
"102","ST152Q08IA","In your <test language lessons>, how often: The teacher poses questions that motivate students to participate actively."
"103","ST154Q01HA","<this academic year>, how many pages was the longest piece of text you had to read for your <test language lessons>?"
"104","ST153Q01HA","When you have to read, does the teacher ask you to: Write a summary of the book or the chapter"
"105","ST153Q02HA","When you have to read, does the teacher ask you to: List and write a short description of the main characters"
"106","ST153Q03HA","When you have to read, does the teacher ask you to: Discuss in small groups with other students who read the same [...]"
"107","ST153Q04HA","When you have to read, does the teacher ask you to: Give your personal thoughts about the book or the chapter [...]"
"108","ST153Q05HA","When you have to read, does the teacher ask you to: Answer questions about the book or the chapter"
"109","ST153Q06HA","When you have to read, does the teacher ask you to: Compare the content of the book or the chapter with your own [...]"
